UoFKey,UoFNumber,RDNumber,IncidentDate,Location,Beat,Officer Identifier,SubjectKey,SubjAgeatTOI,SubjRace,SubjGender,ForceLevel,ForceType,Description
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3036,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3036,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3036,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2896,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2896,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2896,4095,21,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2896,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2896,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,709,4095,21,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2771,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2771,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2771,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2771,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3070,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3070,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3070,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3070,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2816,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2816,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2816,4095,21,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2816,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2816,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2218,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2218,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2218,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2218,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3098,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3098,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3098,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3098,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1207,10F-0060,10-004217,1/20/2010 1:30,5000 Telegraph Ave     ,,2819,4044,110,Black,Male,Level 1,1,Lethal Firearm Discharge
1207,10F-0060,10-004217,1/20/2010 1:30,5000 Telegraph Ave     ,,2976,4044,110,Black,Male,Level 1,1,Lethal Firearm Discharge
1207,10F-0060,10-004217,1/20/2010 1:30,5000 Telegraph Ave     ,,3024,4044,110,Black,Male,Level 1,1,Lethal Firearm Discharge
1208,10F-0070,10-004797,1/22/2010 21:02,1400 E 33rd St     ,,1436,4051,37,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1208,10F-0070,10-004797,1/22/2010 21:02,1400 E 33rd St     ,,3214,4050,47,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1208,10F-0070,10-004797,1/22/2010 21:02,1400 E 33rd St     ,,924,4051,37,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1208,10F-0070,10-004797,1/22/2010 21:02,1400 E 33rd St     ,,2969,4051,37,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1208,10F-0070,10-004797,1/22/2010 21:02,1400 E 33rd St     ,,2969,4050,47,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1208,10F-0070,10-004797,1/22/2010 21:02,1400 E 33rd St     ,,1205,4050,47,Black,Male,Level 2,14,"Police Patrol Canine Bites Clothing, Skin, or Injures a Person beyond first aide"
1208,10F-0070,10-004797,1/22/2010 21:02,1400 E 33rd St     ,,931,4050,47,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1209,10F-0071,10-004908,1/23/2010 13:26,600 44th Street     ,,3152,4052,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1209,10F-0071,10-004908,1/23/2010 13:26,600 44th Street     ,,898,4052,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1209,10F-0071,10-004908,1/23/2010 13:26,600 44th Street     ,,2814,4052,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1209,10F-0071,10-004908,1/23/2010 13:26,600 44th Street     ,,2218,4052,21,Black,Male,Level 2,14,"Police Patrol Canine Bites Clothing, Skin, or Injures a Person beyond first aide"
1217,10F-0098,10-004928,1/23/2010 16:20,8800 MacArthur Blvd     ,,560,4076,13,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1217,10F-0098,10-004928,1/23/2010 16:20,8800 MacArthur Blvd     ,,3101,4076,13,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1218,10F-0141,10-004969,1/23/2010 20:17,1800 Park Blvd     ,,736,4077,59,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1218,10F-0141,10-004969,1/23/2010 20:17,1800 Park Blvd     ,,3137,4077,59,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1218,10F-0141,10-004969,1/23/2010 20:17,1800 Park Blvd     ,,3137,4077,59,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1210,10F-0072,10-005195,1/25/2010 1:35,E 20th St & 27th Ave    ,,3056,4053,44,Hispanic,Female,Level 2,15-11,"Level 2-If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1210,10F-0072,10-005195,1/25/2010 1:35,E 20th St & 27th Ave    ,,3109,4053,44,Hispanic,Female,Level 2,15-16,Level 2-Weaponless Defense Technique Other than for Control Hold
1210,10F-0072,10-005195,1/25/2010 1:35,E 20th St & 27th Ave    ,,3109,4053,44,Hispanic,Female,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1212,10F-0091,10-005284,1/25/2010 13:25,7900 Michigan St     ,,2767,4063,15,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1212,10F-0091,10-005284,1/25/2010 13:25,7900 Michigan St     ,,679,4063,15,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1212,10F-0091,10-005284,1/25/2010 13:25,7900 Michigan St     ,,679,4063,15,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,2889,4067,43,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,2963,4067,43,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,2894,4067,43,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,2894,4067,43,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,3136,4067,43,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,3136,4067,43,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,430,4067,43,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,3137,4067,43,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,3137,4067,43,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,3027,4067,43,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,3027,4067,43,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1213,10F-0092,10-005416,1/26/2010 3:54,1800 Rosedal Avenue     ,,2005,4067,43,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1214,10F-0093,10-005641,1/26/2010 23:13,3200 Foothill Blvd     ,,3163,4068,25,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1216,10F-0095,10-005652,1/27/2010 0:24,West MacArthur Blvd & Market Street    ,,1587,4073,38,Black,Male,Level 2,15,Other LEVEL 2: (Describe in Narrative)  
1216,10F-0095,10-005652,1/27/2010 0:24,West MacArthur Blvd & Market Street    ,,1587,4073,38,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1216,10F-0095,10-005652,1/27/2010 0:24,West MacArthur Blvd & Market Street    ,,2813,4073,38,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1215,10F-0094,10-005664,1/27/2010 3:13,1400 E 31st Street     ,,3119,4071,25,Asian,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1235,10F-0386,10-006755,1/31/2010 15:19,1100 Center Street     ,,2765,4155,39,Black,Male,Level 2,9,Strike to the Head - Other than an Intentional Strike to Head with an Impact Weapon
1235,10F-0386,10-006755,1/31/2010 15:19,1100 Center Street     ,,2765,4155,39,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1235,10F-0386,10-006755,1/31/2010 15:19,1100 Center Street     ,,2765,4155,39,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1227,10F-0264,10-007224,2/3/2010 10:44,9100 Lawlor Street     ,,2220,4123,15,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1227,10F-0264,10-007224,2/3/2010 10:44,9100 Lawlor Street     ,,564,4125,18,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1227,10F-0264,10-007224,2/3/2010 10:44,9100 Lawlor Street     ,,1410,4123,15,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1227,10F-0264,10-007224,2/3/2010 10:44,9100 Lawlor Street     ,,3206,4121,15,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1227,10F-0264,10-007224,2/3/2010 10:44,9100 Lawlor Street     ,,3206,4123,15,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1227,10F-0264,10-007224,2/3/2010 10:44,9100 Lawlor Street     ,,2620,4121,15,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1227,10F-0264,10-007224,2/3/2010 10:44,9100 Lawlor Street     ,,2218,4121,15,Black,Male,Level 2,14,"Police Patrol Canine Bites Clothing, Skin, or Injures a Person beyond first aide"
1227,10F-0264,10-007224,2/3/2010 10:44,9100 Lawlor Street     ,,2218,4123,15,Black,Male,Level 2,14,"Police Patrol Canine Bites Clothing, Skin, or Injures a Person beyond first aide"
1219,10F-0142,10-007193,2/3/2010 15:08,2000 E 21st Street     ,,632,4083,29,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1219,10F-0142,10-007193,2/3/2010 15:08,2000 E 21st Street     ,,632,4083,29,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1219,10F-0142,10-007193,2/3/2010 15:08,2000 E 21st Street     ,,3016,4083,29,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1220,10F-0143,10-007770,2/5/2010 12:05,3900 MacArthur Blvd     ,,3016,4084,29,Unknown,Male,Level 2,12,Impact/Impromptu Weapon with Contact - Regardless of Injury
1220,10F-0143,10-007770,2/5/2010 12:05,3900 MacArthur Blvd     ,,3016,4084,29,Unknown,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1220,10F-0143,10-007770,2/5/2010 12:05,3900 MacArthur Blvd     ,,2620,4084,29,Unknown,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1222,10F-0145,10-007832,2/5/2010 17:43,7800 MacArthur Blvd     ,,2677,4096,20,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1223,10F-0179,10-009132,2/11/2010 18:30,700 31st Street     ,,1369,4104,19,Black,Male,Level 2,9,Strike to the Head - Other than an Intentional Strike to Head with an Impact Weapon
1224,10F-0180,10-009133,2/11/2010 19:20,1800 96th Avenue     ,,2700,4105,19,Unknown,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1232,10F-0353,10-009416,2/13/2010 7:25,2600 Chestnut Street     ,,587,4144,42,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1232,10F-0353,10-009416,2/13/2010 7:25,2600 Chestnut Street     ,,702,4144,42,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1232,10F-0353,10-009416,2/13/2010 7:25,2600 Chestnut Street     ,,2979,4144,42,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1232,10F-0353,10-009416,2/13/2010 7:25,2600 Chestnut Street     ,,2979,4144,42,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1232,10F-0353,10-009416,2/13/2010 7:25,2600 Chestnut Street     ,,2979,4144,42,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1226,10F-0262,10-010547,2/18/2010 14:01,1500 Fruitvale Avenue     ,,2750,4112,36,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1226,10F-0262,10-010547,2/18/2010 14:01,1500 Fruitvale Avenue     ,,2750,4112,36,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1228,10F-0265,10-011258,2/22/2010 1:57,7900 MacAurthur Blvd     ,,2879,4127,48,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1228,10F-0265,10-011258,2/22/2010 1:57,7900 MacAurthur Blvd     ,,571,4127,48,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1228,10F-0265,10-011258,2/22/2010 1:57,7900 MacAurthur Blvd     ,,2699,4127,48,Black,Male,Level 2,15,Other LEVEL 2: (Describe in Narrative)  
1228,10F-0265,10-011258,2/22/2010 1:57,7900 MacAurthur Blvd     ,,2699,4127,48,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1231,10F-0324,10-012070,2/25/2010 18:37,1800 Bridge Street     ,,582,4143,11,Hispanic,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1231,10F-0324,10-012070,2/25/2010 18:37,1800 Bridge Street     ,,582,4143,11,Hispanic,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1229,10F-0300,10-012069,2/25/2010 18:55,78th Avenue & Arthur     ,,1369,4132,17,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1229,10F-0300,10-012069,2/25/2010 18:55,78th Avenue & Arthur     ,,1369,4132,17,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1230,10F-0322,10-012313,2/26/2010 18:35,6500 Foothill Boulevard     ,,554,4134,49,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1230,10F-0322,10-012313,2/26/2010 18:35,6500 Foothill Boulevard     ,,796,4135,39,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1230,10F-0322,10-012313,2/26/2010 18:35,6500 Foothill Boulevard     ,,2901,4133,36,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1230,10F-0322,10-012313,2/26/2010 18:35,6500 Foothill Boulevard     ,,1529,4133,36,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1233,10F-0355,10-013220,3/2/2010 19:50,8100 Ney Avenue     ,,2805,4151,58,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1233,10F-0355,10-013220,3/2/2010 19:50,8100 Ney Avenue     ,,2901,4151,58,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1234,10F-0364,10-013477,3/3/2010 23:50,"1400 8th Street,     ",,1587,4152,43,Black,Male,Level 3,18,Taser Fired but Probes Misses
1234,10F-0364,10-013477,3/3/2010 23:50,"1400 8th Street,     ",,1587,4152,43,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1241,10F-0408,10-013636,3/4/2010 16:53,Highway 880 N & 90 interchange    ,,1155,4174,110,Unknown,,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1241,10F-0408,10-013636,3/4/2010 16:53,Highway 880 N & 90 interchange    ,,1155,4174,110,Unknown,,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1241,10F-0408,10-013636,3/4/2010 16:53,Highway 880 N & 90 interchange    ,,2589,4187,27,White,Female,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
