INCIDENT NUMBER,REPORT NUMBER,UOF DATE,SUBJECT NUMBER,SUBJECT RACE,SUBJECT AGE,SUBJECT SEX,WEAPON TYPE,TYPE OF WEAPON(OTHER),COMPLAINT OF PAIN,SUBJECT INJURED,CHARGES
UOF-2015-0091,150138305,2/14/2015,,,,,,,,,
UOF-2015-0068,150140190,2/15/2015,,,,,,,,,
UOF-2015-0075,150139466,2/15/2015,,,,,,,,,
UOF-2015-0095,150139789,2/15/2015,,,,,,,,,
UOF-2015-0096,150141289,2/15/2015,,,,,,,,,
UOF-2015-0099,150144744,2/16/2015,,,,,,,,,
UOF-2015-0102,150149023,2/18/2015,,,,,,,,,
UOF-2015-0103,150152593,2/19/2015,,,,,,,,,
UOF-2015-0106,150154599,2/19/2015,,,,,,,,,
UOF-2015-0107,150156802,2/20/2015,,,,,,,,,
UOF-2015-0108,150157383,2/20/2015,,,,,,,,,
UOF-2015-0113,150158648,2/20/2015,,,,,,,,,
UOF-2015-0104,150160461,2/21/2015,,,,,,,,,
UOF-2015-0116,150161566,2/21/2015,,,,,,,,,
UOF-2015-0105,150164485,2/22/2015,,,,,,,,,
UOF-2015-0114,150166544,2/23/2015,,,,,,,,,
UOF-2015-0119,150168120,2/23/2015,,,,,,,,,
UOF-2015-0109,150171139,2/24/2015,,,,,,,,,
UOF-2015-0097,150174575,2/25/2015,,,,,,,,,
UOF-2015-0100,150171872,2/25/2015,,,,,,,,,
UOF-2015-0118,150178555,2/26/2015,27700,H - Hispanic,20,M,Knife or Edged Weapon,,No,Yes,
UOF-2015-0098,150178511,2/26/2015,,,,,,,,,
UOF-2015-0110,150184370,2/26/2015,,,,,,,,,
UOF-2015-0117,150176907,2/26/2015,,,,,,,,,
UOF-2015-0101,150181871,2/27/2015,,,,,,,,,
UOF-2015-0115,150181138,2/27/2015,,,,,,,,,
UOF-2015-0111,150184370,2/28/2015,,,,,,,,,
UOF-2015-0112,150184778,2/28/2015,,,,,,,,,
UOF-2015-0138,150201742,3/1/2015,,,,,,,,,
UOF-2015-0155,150185986,3/1/2015,,,,,,,,,
UOF-2015-0120,150191676,3/2/2015,,,,,,,,,
UOF-2015-0156,150189295,3/2/2015,,,,,,,,,
UOF-2015-0137,150191739,3/3/2015,,,,,,,,,
UOF-2015-0139,150206297,3/3/2015,,,,,,,,,
UOF-2015-0126,150195145,3/4/2015,,,,,,,,,
UOF-2015-0127,150196018,3/4/2015,,,,,,,,,
UOF-2015-0133,150196080,3/4/2015,,,,,,,,,
UOF-2015-0134,150196303,3/4/2015,,,,,,,,,
UOF-2015-0140,150195208,3/4/2015,,,,,,,,,
UOF-2015-0141,150195054,3/4/2015,,,,,,,,,
UOF-2015-0157,150195292,3/4/2015,,,,,,,,,
UOF-2015-0147,150198575,3/5/2015,,,,,,,,,
UOF-2015-0148,150200108,3/5/2015,,,,,,,,,
UOF-2015-0121,150202972,3/6/2015,,,,,,,,,
UOF-2015-0122,150204439,3/6/2015,,,,,,,,,
UOF-2015-0142,150204047,3/6/2015,,,,,,,,,
UOF-2015-0123,150205205,3/7/2015,,,,,,,,,
UOF-2015-0128,150205700,3/7/2015,,,,,,,,,
UOF-2015-0129,150206429,3/7/2015,,,,,,,,,
UOF-2015-0135,150207057,3/7/2015,,,,,,,,,
UOF-2015-0158,150207223,3/7/2015,,,,,,,,,
UOF-2015-0146,150207524,3/8/2015,,,,,,,,,
UOF-2015-0149,150209730,3/8/2015,,,,,,,,,
UOF-2015-0130,150211791,3/9/2015,,,,,,,,,
UOF-2015-0124,150216741,3/10/2015,,,,,,,,,
UOF-2015-0136,150215771,3/10/2015,,,,,,,,,
UOF-2015-0131,150218048,3/11/2015,,,,,,,,,
UOF-2015-0143,150217539,3/11/2015,,,,,,,,,
UOF-2015-0144,150219886,3/11/2015,,,,,,,,,
UOF-2015-0153,1507058,3/11/2015,,,,,,,,,
UOF-2015-0132,150222958,3/12/2015,,,,,,,,,
UOF-2015-0150,150223166,3/12/2015,,,,,,,,,
UOF-2015-0154,1507155,3/12/2015,,,,,,,,,
UOF-2015-0125,150223984,3/13/2015,,,,,,,,,
UOF-2015-0151,150225833,3/13/2015,,,,,,,,,
UOF-2015-0152,150228188,3/14/2015,,,,,,,,,
UOF-2015-0159,150229368,3/14/2015,,,,,,,,,
UOF-2015-0145,150231012,3/15/2015,,,,,,,,,
UOF-2015-0160,150236169,3/16/2015,,,,,,,,,
UOF-2015-0167,150235593,3/16/2015,,,,,,,,,
UOF-2015-0175,150235650,3/16/2015,,,,,,,,,
UOF-2015-0182,150239022,3/17/2015,27701,W - White,30,F,Other,Vehicle,No,Yes,
UOF-2015-0166,150236799,3/17/2015,,,,,,,,,
UOF-2015-0176,150238052,3/17/2015,,,,,,,,,
UOF-2015-0169,150242376,3/18/2015,,,,,,,,,
UOF-2015-0170,150245778,3/19/2015,,,,,,,,,
UOF-2015-0161,150248647,3/20/2015,,,,,,,,,
UOF-2015-0165,150247398,3/20/2015,,,,,,,,,
UOF-2015-0173,150246334,3/20/2015,,,,,,,,,
UOF-2015-0171,150251571,3/21/2015,,,,,,,,,
UOF-2015-0174,150258527,3/23/2015,,,,,,,,,
UOF-2015-0172,150258345,3/24/2015,,,,,,,,,
UOF-2015-0177,150259945,3/24/2015,,,,,,,,,
UOF-2015-0178,150270935,3/24/2015,,,,,,,,,
UOF-2015-0162,150263491,3/25/2015,,,,,,,,,
UOF-2015-0164,150267556,3/26/2015,,,,,,,,,
UOF-2015-0163,150274993,3/28/2015,,,,,,,,,
UOF-2015-0179,150277505,3/29/2015,,,,,,,,,
UOF-2015-0180,150277038,3/29/2015,,,,,,,,,
UOF-2015-0181,150281158,3/30/2015,,,,,,,,,
UOF-2015-0168,150284572,3/31/2015,,,,,,,,,
UOF-2015-0183,150283392,3/31/2015,,,,,,,,,
UOF-2015-0192,150286926,4/1/2015,,,,,,,,,
UOF-2015-0193,150287065,4/1/2015,,,,,,,,,
UOF-2015-0187,150288552,4/2/2015,,,,,,,,,
UOF-2015-0188,150291997,4/3/2015,,,,,,,,,
UOF-2015-0205,150295206,4/4/2015,,,,,,,,,
UOF-2015-0194,150297246,4/5/2015,,,,,,,,,
UOF-2015-0195,150299220,4/5/2015,,,,,,,,,
UOF-2015-0198,150299270,4/5/2015,,,,,,,,,
UOF-2015-0201,150297155,4/5/2015,,,,,,,,,
UOF-2015-0185,150301762,4/6/2015,,,,,,,,,
UOF-2015-0186,150301831,4/6/2015,,,,,,,,,
UOF-2015-0196,150302027,4/6/2015,,,,,,,,,
UOF-2015-0199,150299662,4/6/2015,,,,,,,,,
UOF-2015-0206,150300792,4/6/2015,,,,,,,,,
UOF-2015-0203,150305651,4/7/2015,,,,,,,,,
UOF-2015-0207,150316880,4/11/2015,,,,,,,,,
UOF-2015-0208,150317214,4/11/2015,,,,,,,,,
UOF-2015-0189,150320596,4/12/2015,,,,,,,,,
UOF-2015-0202,150318557,4/12/2015,,,,,,,,,
UOF-2015-0204,150319038,4/12/2015,,,,,,,,,
UOF-2015-0209,150319276,4/12/2015,,,,,,,,,
UOF-2015-0184,1510550,4/14/2015,,,,,,,,,
UOF-2015-0191,150330313,4/15/2015,,,,,,,,,
UOF-2015-0197,150330200,4/15/2015,,,,,,,,,
UOF-2015-0200,150327821,4/15/2015,,,,,,,,,
UOF-2015-0190,150330608,4/16/2015,,,,,,,,,
UOF-2015-0215,150335404,4/17/2015,,,,,,,,,
UOF-2015-0227,150333884,4/17/2015,,,,,,,,,
UOF-2015-0232,150335307,4/17/2015,,,,,,,,,
UOF-2015-0210,150338884,4/18/2015,,,,,,,,,
UOF-2015-0211,150339218,4/18/2015,,,,,,,,,
UOF-2015-0216,150338953,4/18/2015,,,,,,,,,
UOF-2015-0218,150343162,4/18/2015,,,,,,,,,
UOF-2015-0233,150338395,4/18/2015,,,,,,,,,
UOF-2015-0217,150343269,4/19/2015,,,,,,,,,
UOF-2015-0222,150340908,4/19/2015,,,,,,,,,
UOF-2015-0223,150345986,4/20/2015,,,,,,,,,
UOF-2015-0236,150346100,4/20/2015,,,,,,,,,
UOF-2015-0228,150349433,4/21/2015,,,,,,,,,
UOF-2015-0234,150346865,4/21/2015,,,,,,,,,
UOF-2015-0212,150351927,4/22/2015,,,,,,,,,
UOF-2015-0229,150215157,4/22/2015,,,,,,,,,
UOF-2015-0219,150354006,4/23/2015,,,,,,,,,
UOF-2015-0224,150350361,4/23/2015,,,,,,,,,
UOF-2015-0213,150356159,4/24/2015,,,,,,,,,
UOF-2015-0214,150357157,4/24/2015,,,,,,,,,
UOF-2015-0230,150338555,4/24/2015,,,,,,,,,
UOF-2015-0231,150361788,4/24/2015,,,,,,,,,
UOF-2015-0220,150359852,4/25/2015,,,,,,,,,
UOF-2015-0237,150360241,4/25/2015,,,,,,,,,
UOF-2015-0238,150360649,4/25/2015,,,,,,,,,
UOF-2015-0221,150363239,4/26/2015,,,,,,,,,
UOF-2015-0225,150368029,4/28/2015,,,,,,,,,
UOF-2015-0226,150373131,4/29/2015,,,,,,,,,
UOF-2015-0235,150374305,4/29/2015,,,,,,,,,
UOF-2015-0350,150373517,4/29/2015,,,,,,,,,
UOF-2015-0243,150378200,5/1/2015,,,,,,,,,
UOF-2015-0258,150379543,5/1/2015,,,,,,,,,
UOF-2015-0242,1512260,5/2/2015,,,,,,,,,
UOF-2015-0250,150382900,5/2/2015,,,,,,,,,
UOF-2015-0245,150386918,5/4/2015,,,,,,,,,
UOF-2015-0255,150388942,5/4/2015,,,,,,,,,
UOF-2015-0259,150392034,5/5/2015,,,,,,,,,
UOF-2015-0241,1512651,5/6/2015,,,,,,,,,
UOF-2015-0244,150394331,5/6/2015,,,,,,,,,
UOF-2015-0246,150399903,5/7/2015,,,,,,,,,
UOF-2015-0260,150397896,5/7/2015,,,,,,,,,
UOF-2015-0261,150399115,5/7/2015,,,,,,,,,
UOF-2015-0257,150402188,5/8/2015,,,,,,,,,
UOF-2015-0251,150404350,5/9/2015,,,,,,,,,
UOF-2015-0252,150404504,5/9/2015,,,,,,,,,
UOF-2015-0256,150404708,5/9/2015,,,,,,,,,
UOF-2015-0247,150405988,5/10/2015,,,,,,,,,
UOF-2015-0248,150407586,5/10/2015,,,,,,,,,
UOF-2015-0249,150406237,5/10/2015,,,,,,,,,
UOF-2015-0239,150411383,5/11/2015,,,,,,,,,
UOF-2015-0253,150411775,5/12/2015,,,,,,,,,
UOF-2015-0240,150418204,5/14/2015,,,,,,,,,
UOF-2015-0262,150418408,5/14/2015,,,,,,,,,
UOF-2015-0254,150423811,5/15/2015,,,,,,,,,
UOF-2015-0263,150422142,5/15/2015,,,,,,,,,
UOF-2015-0265,150425481,5/16/2015,,,,,,,,,
UOF-2015-0274,150427700,5/16/2015,,,,,,,,,
UOF-2015-0281,150426752,5/16/2015,,,,,,,,,
UOF-2015-0282,150427409,5/16/2015,,,,,,,,,
UOF-2015-0284,150429659,5/17/2015,,,,,,,,,
UOF-2015-0266,150433804,5/18/2015,,,,,,,,,
UOF-2015-0292,150433525,5/18/2015,,,,,,,,,
UOF-2015-0267,150434761,5/19/2015,,,,,,,,,
UOF-2015-0275,150434620,5/19/2015,,,,,,,,,
UOF-2015-0268,150440310,5/20/2015,,,,,,,,,
UOF-2015-0277,150441603,5/21/2015,,,,,,,,,
UOF-2015-0283,150442093,5/21/2015,,,,,,,,,
UOF-2015-0288,150443643,5/21/2015,,,,,,,,,
UOF-2015-0293,150442043,5/21/2015,,,,,,,,,
UOF-2015-0269,150446459,5/22/2015,,,,,,,,,
UOF-2015-0286,150446631,5/22/2015,,,,,,,,,
UOF-2015-0270,150449889,5/23/2015,,,,,,,,,
UOF-2015-0271,150451389,5/23/2015,,,,,,,,,
UOF-2015-0287,150450444,5/23/2015,,,,,,,,,
UOF-2015-0272,150452020,5/24/2015,,,,,,,,,
UOF-2015-0278,150451674,5/24/2015,,,,,,,,,
UOF-2015-0285,150453426,5/24/2015,,,,,,,,,
UOF-2015-0264,150457070,5/25/2015,,,,,,,,,
UOF-2015-0273,150458880,5/26/2015,,,,,,,,,
UOF-2015-0279,150459026,5/26/2015,,,,,,,,,
UOF-2015-0276,150463362,5/27/2015,,,,,,,,,
UOF-2015-0294,150462580,5/27/2015,,,,,,,,,
UOF-2015-0295,150463384,5/27/2015,,,,,,,,,
UOF-2015-0280,150464229,5/28/2015,,,,,,,,,
UOF-2015-0296,150473173,5/30/2015,,,,,,,,,
UOF-2015-0289,150473957,5/31/2015,,,,,,,,,
UOF-2015-0290,150476274,5/31/2015,,,,,,,,,
UOF-2015-0291,150476064,5/31/2015,,,,,,,,,
UOF-2015-0297,150478753,6/1/2015,,,,,,,,,
UOF-2015-0298,150478888,6/1/2015,,,,,,,,,
UOF-2015-0300,150478888,6/1/2015,,,,,,,,,
UOF-2015-0313,150477006,6/1/2015,,,,,,,,,
UOF-2015-0316,150478004,6/1/2015,,,,,,,,,
UOF-2015-0317,150467972,6/1/2015,,,,,,,,,
UOF-2015-0321,150478753,6/1/2015,,,,,,,,,
UOF-2015-0322,150478888,6/1/2015,,,,,,,,,
UOF-2015-0301,150485485,6/3/2015,,,,,,,,,
UOF-2015-0323,150484249,6/3/2015,,,,,,,,,
UOF-2015-0324,150482550,6/3/2015,,,,,,,,,
UOF-2015-0302,150491846,6/5/2015,,,,,,,,,
UOF-2015-0303,150491846,6/6/2015,,,,,,,,,
UOF-2015-0310,150494624,6/6/2015,,,,,,,,,
UOF-2015-0319,150493723,6/6/2015,,,,,,,,,
UOF-2015-0304,150500340,6/8/2015,,,,,,,,,
UOF-2015-0299,150505293,6/9/2015,,,,,,,,,
UOF-2015-0305,150504972,6/9/2015,,,,,,,,,
UOF-2015-0308,150508093,6/10/2015,,,,,,,,,
UOF-2015-0318,150510355,6/11/2015,,,,,,,,,
UOF-2015-0320,150509825,6/11/2015,,,,,,,,,
UOF-2015-0309,150514567,6/12/2015,,,,,,,,,
UOF-2015-0311,150514692,6/12/2015,,,,,,,,,
UOF-2015-0314,150512191,6/12/2015,,,,,,,,,
UOF-2015-0306,150518218,6/14/2015,,,,,,,,,
UOF-2015-0307,150519943,6/14/2015,,,,,,,,,
UOF-2015-0312,150524180,6/15/2015,,,,,,,,,
UOF-2015-0315,150523712,6/15/2015,,,,,,,,,
UOF-2015-0341,150521556,6/15/2015,,,,,,,,,
UOF-2015-0328,150527582,6/16/2015,,,,,,,,,
UOF-2015-0336,150524544,6/16/2015,,,,,,,,,
UOF-2015-0337,150527203,6/16/2015,,,,,,,,,
UOF-2015-0329,150527479,6/17/2015,,,,,,,,,
UOF-2015-0338,150530450,6/17/2015,,,,,,,,,
UOF-2015-0351,150527786,6/17/2015,,,,,,,,,
UOF-2015-0325,150533012,6/18/2015,,,,,,,,,
UOF-2015-0343,150530999,6/18/2015,,,,,,,,,
UOF-2015-0349,1516953,6/18/2015,,,,,,,,,
UOF-2015-0361,150530870,6/18/2015,,,,,,,,,
UOF-2015-0362,150533523,6/18/2015,,,,,,,,,
UOF-2015-0363,150535892,6/19/2015,,,,,,,,,
UOF-2015-0330,150539098,6/20/2015,,,,,,,,,
UOF-2015-0339,150539349,6/20/2015,,,,,,,,,
UOF-2015-0364,150537939,6/20/2015,,,,,,,,,
UOF-2015-0331,150539747,6/21/2015,,,,,,,,,
UOF-2015-0342,150541974,6/21/2015,,,,,,,,,
UOF-2015-0344,150540954,6/21/2015,,,,,,,,,
UOF-2015-0345,150541601,6/21/2015,,,,,,,,,
UOF-2015-0352,150541861,6/21/2015,,,,,,,,,
UOF-2015-0355,150541366,6/21/2015,,,,,,,,,
UOF-2015-0356,150540675,6/21/2015,,,,,,,,,
UOF-2015-0326,150547461,6/23/2015,,,,,,,,,
UOF-2015-0327,150548419,6/23/2015,,,,,,,,,
UOF-2015-0346,150547869,6/23/2015,,,,,,,,,
UOF-2015-0332,150554723,6/25/2015,,,,,,,,,
UOF-2015-0340,150555050,6/25/2015,,,,,,,,,
UOF-2015-0357,150553872,6/25/2015,,,,,,,,,
UOF-2015-0333,150555298,6/26/2015,,,,,,,,,
UOF-2015-0334,150558270,6/26/2015,,,,,,,,,
UOF-2015-0358,150555919,6/26/2015,,,,,,,,,
UOF-2015-0335,150560877,6/27/2015,,,,,,,,,
UOF-2015-0347,150560695,6/27/2015,,,,,,,,,
UOF-2015-0348,150561950,6/28/2015,,,,,,,,,
UOF-2015-0353,150564023,6/28/2015,,,,,,,,,
UOF-2015-0354,150563445,6/28/2015,,,,,,,,,
UOF-2015-0359,150563815,6/28/2015,,,,,,,,,
UOF-2015-0365,150562657,6/28/2015,,,,,,,,,
UOF-2015-0366,150563536,6/28/2015,,,,,,,,,
UOF-2015-0367,150568025,6/29/2015,,,,,,,,,
UOF-2015-0360,150569885,6/30/2015,,,,,,,,,
UOF-2015-0375,150574618,7/1/2015,,,,,,,,,
UOF-2015-0382,150574420,7/1/2015,,,,,,,,,
UOF-2015-0422,150572377,7/1/2015,,,,,,,,,
UOF-2015-0376,150576545,7/2/2015,,,,,,,,,
UOF-2015-0386,1518357,7/2/2015,,,,,,,,,
UOF-2015-0370,150579840,7/3/2015,,,,,,,,,
UOF-2015-0380,150580988,7/3/2015,,,,,,,,,
UOF-2015-0368,150584899,7/5/2015,,,,,,,,,
UOF-2015-0377,150588578,7/6/2015,,,,,,,,,
UOF-2015-0381,150691383,7/7/2015,,,,,,,,,
UOF-2015-0371,150597701,7/9/2015,,,,,,,,,
UOF-2015-0372,150601471,7/10/2015,,,,,,,,,
UOF-2015-0383,150599365,7/10/2015,,,,,,,,,
UOF-2015-0369,150604306,7/11/2015,,,,,,,,,
UOF-2015-0373,150602849,7/11/2015,,,,,,,,,
UOF-2015-0423,150610739,7/13/2015,,,,,,,,,
UOF-2015-0384,150612393,7/14/2015,,,,,,,,,
UOF-2015-0385,150612456,7/14/2015,,,,,,,,,
UOF-2015-0424,150612268,7/14/2015,,,,,,,,,
UOF-2015-0425,150614010,7/14/2015,,,,,,,,,
UOF-2015-0378,150614941,7/15/2015,,,,,,,,,
UOF-2015-0379,150616000,7/15/2015,,,,,,,,,
UOF-2015-0388,150617547,7/16/2015,,,,,,,,,
UOF-2015-0389,150622950,7/17/2015,,,,,,,,,
UOF-2015-0409,150621407,7/17/2015,,,,,,,,,
UOF-2015-0416,150621178,7/17/2015,,,,,,,,,
UOF-2015-0392,150624229,7/18/2015,,,,,,,,,
UOF-2015-0410,150624984,7/18/2015,,,,,,,,,
UOF-2015-0411,150625750,7/18/2015,,,,,,,,,
UOF-2015-0414,150624821,7/18/2015,,,,,,,,,
UOF-2015-0393,150627063,7/19/2015,,,,,,,,,
UOF-2015-0404,150628475,7/19/2015,,,,,,,,,
UOF-2015-0394,150630743,7/20/2015,,,,,,,,,
UOF-2015-0415,150629724,7/20/2015,,,,,,,,,
UOF-2015-0390,150633236,7/21/2015,,,,,,,,,
UOF-2015-0395,150633082,7/21/2015,,,,,,,,,
UOF-2015-0400,150633612,7/21/2015,,,,,,,,,
UOF-2015-0396,150637545,7/22/2015,,,,,,,,,
UOF-2015-0408,150637288,7/22/2015,,,,,,,,,
UOF-2015-0397,150638979,7/23/2015,,,,,,,,,
UOF-2015-0405,150642328,7/23/2015,,,,,,,,,
UOF-2015-0418,150642033,7/23/2015,,,,,,,,,
UOF-2015-0417,150645156,7/24/2015,,,,,,,,,
UOF-2015-0419,150645156,7/24/2015,,,,,,,,,
UOF-2015-0398,150646364,7/25/2015,,,,,,,,,
UOF-2015-0406,150647607,7/25/2015,,,,,,,,,
UOF-2015-0412,150647497,7/25/2015,,,,,,,,,
UOF-2015-0786,1520751,7/26/2015,27702,W - White,24,M,,,Yes,Yes,Robbery
UOF-2015-0399,1520751,7/26/2015,,,,,,,,,
UOF-2015-0407,150651749,7/26/2015,,,,,,,,,
UOF-2015-0413,150650519,7/26/2015,,,,,,,,,
UOF-2015-0401,150661168,7/29/2015,,,,,,,,,
UOF-2015-0402,150661378,7/29/2015,,,,,,,,,
UOF-2015-0784,150658143,7/29/2015,,,,,,,,,
UOF-2015-0391,150661845,7/30/2015,,,,,,,,,
UOF-2015-0420,150663904,7/30/2015,,,,,,,,,
UOF-2015-0403,150666550,7/31/2015,,,,,,,,,
UOF-2015-0421,150664059,7/31/2015,,,,,,,,,
UOF-2015-0443,150669714,8/1/2015,,,,,,,,,
UOF-2015-0474,150669407,8/1/2015,,,,,,,,,
UOF-2015-0426,150670642,8/2/2015,,,,,,,,,
UOF-2015-0441,150671543,8/2/2015,,,,,,,,,
UOF-2015-0458,1521450,8/2/2015,,,,,,,,,
UOF-2015-0480,150671731,8/2/2015,,,,,,,,,
UOF-2015-0481,150672488,8/2/2015,,,,,,,,,
UOF-2015-0387,150111000,8/3/2015,,,,,,,,,
UOF-2015-0427,150673088,8/3/2015,,,,,,,,,
UOF-2015-0428,150673555,8/3/2015,,,,,,,,,
UOF-2015-0445,150675222,8/3/2015,,,,,,,,,
UOF-2015-0478,150673436,8/3/2015,,,,,,,,,
UOF-2015-0482,150672949,8/3/2015,,,,,,,,,
UOF-2015-0444,150679008,8/4/2015,,,,,,,,,
UOF-2015-0429,150680798,8/5/2015,,,,,,,,,
UOF-2015-0432,150682261,8/5/2015,,,,,,,,,
UOF-2015-0436,150681661,8/5/2015,,,,,,,,,
UOF-2015-0452,150678903,8/5/2015,,,,,,,,,
UOF-2015-0449,150681376,8/6/2015,,,,,,,,,
UOF-2015-0430,150686984,8/7/2015,,,,,,,,,
UOF-2015-0433,150686774,8/7/2015,,,,,,,,,
UOF-2015-0434,150691290,8/7/2015,,,,,,,,,
UOF-2015-0437,150687380,8/7/2015,,,,,,,,,
UOF-2015-0438,150687409,8/7/2015,,,,,,,,,
UOF-2015-0454,150686138,8/7/2015,,,,,,,,,
UOF-2015-0459,150685817,8/7/2015,,,,,,,,,
UOF-2015-0446,150691632,8/8/2015,,,,,,,,,
UOF-2015-0453,150689160,8/8/2015,,,,,,,,,
UOF-2015-0455,150691870,8/8/2015,,,,,,,,,
